ds,y
2025-05-23,2418.36
2025-05-26,2423.72
2025-05-27,2423.72
2025-05-28,2397.62
2025-05-29,2372.99
2025-05-30,2335.77
2025-06-02,2316.4
2025-06-03,2267.09
2025-06-04,2267.41
2025-06-05,2301.91
2025-06-06,2316.32
2025-06-09,2303.94
2025-06-10,2276.92
2025-06-11,2251.1
2025-06-12,2229.75
2025-06-13,2197.73
2025-06-16,2167.87
2025-06-17,2147.51
2025-06-18,2061.95
2025-06-20,1969.45
2025-06-21,1726.3880615234375
2025-06-22,1740.341796875
2025-06-23,1755.0263671875
2025-06-24,1734.4512939453125
2025-06-25,1728.4422607421875
