ds,y
2025-06-05,311.15
2025-06-06,311.15
2025-06-09,311.75
2025-06-10,312.2
2025-06-11,314.2
2025-06-12,315.85
2025-06-13,314.35
2025-06-16,314.35
2025-06-17,313.85
2025-06-18,314.4
2025-06-20,314.4
2025-06-23,314.4
2025-06-24,317.7
2025-06-25,316.2
2025-06-26,315.75
2025-06-27,317.4
2025-06-30,317.4
2025-07-01,310.65
2025-07-02,310.65
2025-07-03,310.4
2025-07-04,310.9365539550781
2025-07-05,312.02557373046875
2025-07-06,312.02557373046875
2025-07-07,312.57830810546875
2025-07-08,311.3479309082031
